iters,model,collpase,depth_schedule,base_noise,𝑝(𝑘=1),G1,G2,G3,G4,G1_share,G2_share,G3_share,G4_share,total_errors,fit
1000,NPM,False,lin,0.15,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.008000000000000007
1000,NPM,False,lin,0.15,0.16666666666666666,103,2,107,1,0.483568,0.00939,0.502347,0.004695,213,0.256169014084507
1000,NPM,False,lin,0.15,0.3333333333333333,208,9,165,8,0.533333,0.023077,0.423077,0.020513,390,0.3151794871794873
1000,NPM,False,lin,0.15,0.5,276,13,240,11,0.511111,0.024074,0.444444,0.02037,540,0.316888888888889
1000,NPM,False,lin,0.15,0.6666666666666666,374,10,379,14,0.481338,0.01287,0.487773,0.018018,777,0.28977606177606186
1000,NPM,False,lin,0.15,0.8333333333333334,473,17,440,19,0.498419,0.017914,0.463646,0.020021,949,0.3038693361433088
1000,NPM,False,lin,0.15,1.0,561,24,592,17,0.469849,0.020101,0.495812,0.014238,1194,0.29667671691792297
1000,NPM,False,lin,0.3,0.0,546,23,554,23,0.47644,0.02007,0.483421,0.02007,1146,0.30827923211169295
1000,NPM,False,lin,0.3,0.16666666666666666,1171,189,1199,177,0.427997,0.069079,0.438231,0.064693,2736,0.49554385964912284
1000,NPM,False,lin,0.3,0.3333333333333333,1807,365,1747,359,0.422394,0.08532,0.408368,0.083918,4278,0.5664759233286583
1000,NPM,False,lin,0.3,0.5,2379,531,2445,522,0.404798,0.090352,0.416029,0.088821,5877,0.5863460949464012
1000,NPM,False,lin,0.3,0.6666666666666666,3067,703,2973,691,0.412564,0.094566,0.399919,0.092951,7434,0.6030336292709174
1000,NPM,False,lin,0.3,0.8333333333333334,3650,864,3571,860,0.408049,0.09659,0.399217,0.096143,8945,0.6134667411961989
1000,NPM,False,lin,0.3,1.0,4181,1030,4244,1026,0.398912,0.098273,0.404923,0.097891,10481,0.6203289762427249
1000,NPM,False,lin,0.6,0.0,4216,1057,4255,1025,0.399507,0.100161,0.403203,0.097129,10553,0.622579740358192
1000,NPM,False,lin,0.6,0.16666666666666666,4331,1303,4302,1263,0.386731,0.11635,0.384141,0.112778,11199,0.686255201357264
1000,NPM,False,lin,0.6,0.3333333333333333,4409,1607,4292,1534,0.372319,0.135703,0.362439,0.129539,11842,0.7584847154196925
1000,NPM,False,lin,0.6,0.5,4407,1772,4383,1780,0.357073,0.143575,0.355129,0.144223,12342,0.8035955274671852
1000,NPM,False,lin,0.6,0.6666666666666666,4603,2148,4620,2054,0.342868,0.16,0.344134,0.152998,13425,0.8539962756052142
1000,NPM,False,lin,0.6,0.8333333333333334,4636,2321,4596,2376,0.332831,0.166631,0.329959,0.170579,13929,0.9024202742479719
1000,NPM,False,lin,0.6,1.0,4739,2577,4716,2587,0.324167,0.176277,0.322594,0.176961,14619,0.9319229769478077
