game_type,etype,move,stay,none,correct,mistaken,abdicated,total,error_rate,error_ci_low,error_ci_high
⊥⊥,⊥⊥,338,228,18,256,310,18,584,0.54805,0.50707,0.58834
⊥⊤,⊥⊤,353,202,29,380,175,29,584,0.31653,0.27748,0.3532
⊤⊥,⊤⊥,324,220,40,234,310,40,584,0.56985,0.52757,0.61029
⊤⊤,⊤⊤,358,205,21,356,207,21,584,0.36935,0.3286,0.40853
SMSM,⊥⊥,182,100,10,100,182,10,292,0.64539,0.58865,0.69858
MSMS,⊥⊥,156,128,8,156,128,8,292,0.4507,0.39437,0.50704
SMSS,⊥⊤,124,151,17,151,124,17,292,0.45091,0.39273,0.50909
MSMM,⊥⊤,229,51,12,229,51,12,292,0.18214,0.13571,0.22857
SSSM,⊤⊥,181,91,20,91,181,20,292,0.66544,0.60662,0.72059
MMMS,⊤⊥,143,129,20,143,129,20,292,0.47426,0.41544,0.53309
SSSS,⊤⊤,140,138,14,138,140,14,292,0.5036,0.44604,0.56115
MMMM,⊤⊤,218,67,7,218,67,7,292,0.23509,0.18596,0.28421
