game_type,etype,move,stay,none,correct,mistaken,abdicated,total,error_rate,error_ci_low,error_ci_high
⊥⊥,⊥⊥,338,228,26,256,310,26,592,0.54805,0.50707,0.58657
⊥⊤,⊥⊤,353,202,37,380,175,37,592,0.31653,0.27568,0.35495
⊤⊥,⊤⊥,324,220,48,234,310,48,592,0.56985,0.52941,0.61029
⊤⊤,⊤⊤,358,205,29,356,207,29,592,0.36935,0.3286,0.40853
SMSM,⊥⊥,182,100,14,100,182,14,296,0.64539,0.58865,0.69858
MSMS,⊥⊥,156,128,12,156,128,12,296,0.4507,0.39437,0.51056
SMSS,⊥⊤,124,151,21,151,124,21,296,0.45091,0.39273,0.50909
MSMM,⊥⊤,229,51,16,229,51,16,296,0.18214,0.13929,0.22857
SSSM,⊤⊥,181,91,24,91,181,24,296,0.66544,0.61029,0.72059
MMMS,⊤⊥,143,129,24,143,129,24,296,0.47426,0.41544,0.53309
SSSS,⊤⊤,140,138,18,138,140,18,296,0.5036,0.44604,0.56115
MMMM,⊤⊤,218,67,11,218,67,11,296,0.23509,0.18596,0.28421
