participant_number,game_group,n_correct,n_mistaken,n_abdicated,n_total,error_rate,median_choice_rt,median_prediction_rt,group_id,group_label,bm_pred,nm_pred
1,⊥⊥,2.0,6.0,0.0,8.0,0.75,4.5219466685,3.8053638935,G1,G1: both diagnostic,High,High
1,⊥⊤,7.0,1.0,0.0,8.0,0.125,6.369739294,7.055175543,G2,G2: BM-only diagnostic,High,Low
1,⊤⊥,2.0,6.0,0.0,8.0,0.75,3.8931905035000005,6.112396121,G3,G3: NM-only diagnostic,Low,High
1,⊤⊤,6.0,2.0,0.0,8.0,0.25,5.841757178,7.3618189095,G4,G4: neither diagnostic,Low,Low
2,⊥⊥,2.0,4.0,2.0,8.0,0.6666666666666666,1.6772100925,3.074155092,G1,G1: both diagnostic,High,High
2,⊥⊤,4.0,4.0,0.0,8.0,0.5,2.1076078415,3.3393805025,G2,G2: BM-only diagnostic,High,Low
2,⊤⊥,3.0,5.0,0.0,8.0,0.625,2.6807079314999998,3.614448547,G3,G3: NM-only diagnostic,Low,High
2,⊤⊤,3.0,5.0,0.0,8.0,0.625,1.635829687,3.500323772,G4,G4: neither diagnostic,Low,Low
3,⊥⊥,4.0,4.0,0.0,8.0,0.5,1.132098198,7.268075466,G1,G1: both diagnostic,High,High
3,⊥⊤,6.0,2.0,0.0,8.0,0.25,1.1749026775,2.1991244555,G2,G2: BM-only diagnostic,High,Low
3,⊤⊥,3.0,5.0,0.0,8.0,0.625,1.180444598,3.47516489,G3,G3: NM-only diagnostic,Low,High
3,⊤⊤,4.0,4.0,0.0,8.0,0.5,0.958987951,2.939114451,G4,G4: neither diagnostic,Low,Low
4,⊥⊥,2.0,6.0,0.0,8.0,0.75,1.9385854005,3.0592591765000003,G1,G1: both diagnostic,High,High
4,⊥⊤,5.0,3.0,0.0,8.0,0.375,3.356281638,5.86631012,G2,G2: BM-only diagnostic,High,Low
4,⊤⊥,3.0,3.0,2.0,8.0,0.5,3.5175853970000004,4.8668949605,G3,G3: NM-only diagnostic,Low,High
4,⊤⊤,7.0,1.0,0.0,8.0,0.125,2.1501543525,4.274827719,G4,G4: neither diagnostic,Low,Low
5,⊥⊥,2.0,6.0,0.0,8.0,0.75,1.6575167180000001,2.6771099565,G1,G1: both diagnostic,High,High
5,⊥⊤,5.0,1.0,2.0,8.0,0.16666666666666666,2.014833212,3.940241575,G2,G2: BM-only diagnostic,High,Low
5,⊤⊥,4.0,3.0,1.0,8.0,0.42857142857142855,1.923029661,3.7635838985000003,G3,G3: NM-only diagnostic,Low,High
5,⊤⊤,4.0,4.0,0.0,8.0,0.5,1.5619642735000001,3.038225889,G4,G4: neither diagnostic,Low,Low
6,⊥⊥,5.0,3.0,0.0,8.0,0.375,1.325817108,2.225256681,G1,G1: both diagnostic,High,High
6,⊥⊤,6.0,2.0,0.0,8.0,0.25,1.729240656,2.018588543,G2,G2: BM-only diagnostic,High,Low
6,⊤⊥,2.0,6.0,0.0,8.0,0.75,1.815133333,2.5375419855,G3,G3: NM-only diagnostic,Low,High
6,⊤⊤,4.0,4.0,0.0,8.0,0.5,2.1646887065,2.9557499885,G4,G4: neither diagnostic,Low,Low
7,⊥⊥,5.0,2.0,1.0,8.0,0.2857142857142857,3.861821175,4.861821175,G1,G1: both diagnostic,High,High
7,⊥⊤,7.0,1.0,0.0,8.0,0.125,6.7555607555,5.885460138,G2,G2: BM-only diagnostic,High,Low
7,⊤⊥,5.0,3.0,0.0,8.0,0.375,5.207498789,5.789136648,G3,G3: NM-only diagnostic,Low,High
7,⊤⊤,8.0,0.0,0.0,8.0,0.0,7.0997275115,8.686832547,G4,G4: neither diagnostic,Low,Low
8,⊥⊥,5.0,3.0,0.0,8.0,0.375,8.270972014,13.98581195,G1,G1: both diagnostic,High,High
8,⊥⊤,7.0,1.0,0.0,8.0,0.125,9.554998638,9.039890766,G2,G2: BM-only diagnostic,High,Low
8,⊤⊥,4.0,4.0,0.0,8.0,0.5,6.8784798385,9.572265984,G3,G3: NM-only diagnostic,Low,High
8,⊤⊤,6.0,2.0,0.0,8.0,0.25,9.331350565000001,7.5111056565,G4,G4: neither diagnostic,Low,Low
9,⊥⊥,6.0,1.0,1.0,8.0,0.14285714285714285,8.838404655,8.4257980585,G1,G1: both diagnostic,High,High
9,⊥⊤,8.0,0.0,0.0,8.0,0.0,6.589841485,8.199577094,G2,G2: BM-only diagnostic,High,Low
9,⊤⊥,6.0,2.0,0.0,8.0,0.25,6.6861815455,8.440103054,G3,G3: NM-only diagnostic,Low,High
9,⊤⊤,6.0,1.0,1.0,8.0,0.14285714285714285,10.04453301,10.451400755,G4,G4: neither diagnostic,Low,Low
10,⊥⊥,3.0,5.0,0.0,8.0,0.625,2.983526349,5.993776083,G1,G1: both diagnostic,High,High
10,⊥⊤,7.0,1.0,0.0,8.0,0.125,3.375346303,4.471908808,G2,G2: BM-only diagnostic,High,Low
10,⊤⊥,1.0,7.0,0.0,8.0,0.875,3.2416368725,5.81337285,G3,G3: NM-only diagnostic,Low,High
10,⊤⊤,6.0,2.0,0.0,8.0,0.25,3.7694662809999997,6.7256530525,G4,G4: neither diagnostic,Low,Low
11,⊥⊥,4.0,4.0,0.0,8.0,0.5,3.906316757,8.3419494625,G1,G1: both diagnostic,High,High
11,⊥⊤,7.0,1.0,0.0,8.0,0.125,4.2424343825,7.687863111,G2,G2: BM-only diagnostic,High,Low
11,⊤⊥,6.0,2.0,0.0,8.0,0.25,4.148092866,5.607989192,G3,G3: NM-only diagnostic,Low,High
11,⊤⊤,6.0,2.0,0.0,8.0,0.25,3.5309633015,11.515735626,G4,G4: neither diagnostic,Low,Low
12,⊥⊥,6.0,2.0,0.0,8.0,0.25,6.923844099,6.7402789595,G1,G1: both diagnostic,High,High
12,⊥⊤,8.0,0.0,0.0,8.0,0.0,6.981485605,7.902077675000001,G2,G2: BM-only diagnostic,High,Low
12,⊤⊥,5.0,2.0,1.0,8.0,0.2857142857142857,6.150541544,8.150541544,G3,G3: NM-only diagnostic,Low,High
12,⊤⊤,7.0,1.0,0.0,8.0,0.125,10.22755766,8.136539221,G4,G4: neither diagnostic,Low,Low
13,⊥⊥,3.0,5.0,0.0,8.0,0.625,2.711805582,6.476723194,G1,G1: both diagnostic,High,High
13,⊥⊤,4.0,4.0,0.0,8.0,0.5,2.7817803625,3.5573596954999998,G2,G2: BM-only diagnostic,High,Low
13,⊤⊥,2.0,6.0,0.0,8.0,0.75,2.281092048,4.63146019,G3,G3: NM-only diagnostic,Low,High
13,⊤⊤,3.0,5.0,0.0,8.0,0.625,2.6945323945,4.076995611,G4,G4: neither diagnostic,Low,Low
14,⊥⊥,2.0,6.0,0.0,8.0,0.75,4.1599075795000005,10.195142627,G1,G1: both diagnostic,High,High
14,⊥⊤,3.0,4.0,1.0,8.0,0.5714285714285714,4.885460138,9.306672454000001,G2,G2: BM-only diagnostic,High,Low
14,⊤⊥,1.0,7.0,0.0,8.0,0.875,7.7300503255,8.190585852,G3,G3: NM-only diagnostic,Low,High
14,⊤⊤,3.0,5.0,0.0,8.0,0.625,5.186832547,8.46760273,G4,G4: neither diagnostic,Low,Low
15,⊥⊥,3.0,5.0,0.0,8.0,0.625,2.4969494345000003,3.956879616,G1,G1: both diagnostic,High,High
15,⊥⊤,6.0,2.0,0.0,8.0,0.25,4.1986573935,6.7046154735,G2,G2: BM-only diagnostic,High,Low
15,⊤⊥,1.0,4.0,3.0,8.0,0.8,2.171690941,8.079849958,G3,G3: NM-only diagnostic,Low,High
15,⊤⊤,5.0,3.0,0.0,8.0,0.375,2.9177663330000003,5.988646746,G4,G4: neither diagnostic,Low,Low
17,⊥⊥,2.0,6.0,0.0,8.0,0.75,2.9818029399999997,4.702700376499999,G1,G1: both diagnostic,High,High
17,⊥⊤,6.0,2.0,0.0,8.0,0.25,2.869739294,4.4464381930000005,G2,G2: BM-only diagnostic,High,Low
17,⊤⊥,3.0,5.0,0.0,8.0,0.625,3.098872662,4.93261385,G3,G3: NM-only diagnostic,Low,High
17,⊤⊤,5.0,3.0,0.0,8.0,0.375,2.60833776,3.838371992,G4,G4: neither diagnostic,Low,Low
18,⊥⊥,4.0,4.0,0.0,8.0,0.5,7.757949233,8.1290831565,G1,G1: both diagnostic,High,High
18,⊥⊤,8.0,0.0,0.0,8.0,0.0,7.305806994499999,8.4365615845,G2,G2: BM-only diagnostic,High,Low
18,⊤⊥,3.0,4.0,1.0,8.0,0.5714285714285714,6.81337285,9.062565327,G3,G3: NM-only diagnostic,Low,High
18,⊤⊤,6.0,2.0,0.0,8.0,0.25,7.24252522,7.5484042165,G4,G4: neither diagnostic,Low,Low
19,⊥⊥,3.0,5.0,0.0,8.0,0.625,6.931233167499999,11.42824697,G1,G1: both diagnostic,High,High
19,⊥⊤,5.0,3.0,0.0,8.0,0.375,6.45303607,10.07010651,G2,G2: BM-only diagnostic,High,Low
19,⊤⊥,4.0,4.0,0.0,8.0,0.5,9.4059273005,11.37847984,G3,G3: NM-only diagnostic,Low,High
19,⊤⊤,5.0,3.0,0.0,8.0,0.375,7.161980033000001,11.103119610499999,G4,G4: neither diagnostic,Low,Low
20,⊥⊥,3.0,3.0,2.0,8.0,0.5,2.061814666,5.091623782999999,G1,G1: both diagnostic,High,High
20,⊥⊤,6.0,2.0,0.0,8.0,0.25,2.2169435025,3.550982833,G2,G2: BM-only diagnostic,High,Low
20,⊤⊥,4.0,3.0,1.0,8.0,0.42857142857142855,1.88059926,4.2649042605,G3,G3: NM-only diagnostic,Low,High
20,⊤⊤,3.0,5.0,0.0,8.0,0.625,1.332698226,2.340468407,G4,G4: neither diagnostic,Low,Low
21,⊥⊥,4.0,4.0,0.0,8.0,0.5,2.902345538,6.3348097805000005,G1,G1: both diagnostic,High,High
21,⊥⊤,4.0,4.0,0.0,8.0,0.5,3.862671256,6.982007742,G2,G2: BM-only diagnostic,High,Low
21,⊤⊥,4.0,4.0,0.0,8.0,0.5,3.212423325,5.456330060999999,G3,G3: NM-only diagnostic,Low,High
21,⊤⊤,4.0,4.0,0.0,8.0,0.5,4.1273331644999995,6.886759043,G4,G4: neither diagnostic,Low,Low
22,⊥⊥,2.0,6.0,0.0,8.0,0.75,6.702700376499999,10.805363895,G1,G1: both diagnostic,High,High
22,⊥⊤,7.0,1.0,0.0,8.0,0.125,5.749034524,5.676713943,G2,G2: BM-only diagnostic,High,Low
22,⊤⊥,5.0,3.0,0.0,8.0,0.375,4.3445378545,5.419955969,G3,G3: NM-only diagnostic,Low,High
22,⊤⊤,3.0,5.0,0.0,8.0,0.625,7.060260892,9.486098528,G4,G4: neither diagnostic,Low,Low
23,⊥⊥,3.0,5.0,0.0,8.0,0.625,5.3506265875,9.541694400499999,G1,G1: both diagnostic,High,High
23,⊥⊤,6.0,1.0,1.0,8.0,0.14285714285714285,6.512788773,9.933470011,G2,G2: BM-only diagnostic,High,Low
23,⊤⊥,3.0,4.0,1.0,8.0,0.5714285714285714,5.552605391,11.47516489,G3,G3: NM-only diagnostic,Low,High
23,⊤⊤,6.0,1.0,1.0,8.0,0.14285714285714285,4.223881245,11.686832549,G4,G4: neither diagnostic,Low,Low
24,⊥⊥,4.0,4.0,0.0,8.0,0.5,6.407843590000001,7.1506859065,G1,G1: both diagnostic,High,High
24,⊥⊤,8.0,0.0,0.0,8.0,0.0,10.929339765,12.05724072,G2,G2: BM-only diagnostic,High,Low
24,⊤⊥,5.0,3.0,0.0,8.0,0.375,8.150281668,8.439853907,G3,G3: NM-only diagnostic,Low,High
24,⊤⊤,7.0,1.0,0.0,8.0,0.125,7.8319051265,9.044453382,G4,G4: neither diagnostic,Low,Low
25,⊥⊥,2.0,4.0,2.0,8.0,0.6666666666666666,2.5992259979999996,16.73941326,G1,G1: both diagnostic,High,High
25,⊥⊤,3.0,3.0,2.0,8.0,0.5,4.6995770935,13.36635566,G2,G2: BM-only diagnostic,High,Low
25,⊤⊥,3.0,4.0,1.0,8.0,0.5714285714285714,1.453731775,2.4834156035,G3,G3: NM-only diagnostic,Low,High
25,⊤⊤,1.0,7.0,0.0,8.0,0.875,4.098039031,7.044533014,G4,G4: neither diagnostic,Low,Low
26,⊥⊥,2.0,6.0,0.0,8.0,0.75,1.595169663,3.223914027,G1,G1: both diagnostic,High,High
26,⊥⊤,5.0,3.0,0.0,8.0,0.375,2.3857616185,3.729910612,G2,G2: BM-only diagnostic,High,Low
26,⊤⊥,6.0,2.0,0.0,8.0,0.25,2.1906026604999997,4.1149511335,G3,G3: NM-only diagnostic,Low,High
26,⊤⊤,4.0,4.0,0.0,8.0,0.5,1.837655902,3.2417936325000003,G4,G4: neither diagnostic,Low,Low
27,⊥⊥,5.0,3.0,0.0,8.0,0.375,6.7903866765,10.01319146,G1,G1: both diagnostic,High,High
27,⊥⊤,5.0,3.0,0.0,8.0,0.375,8.272919655,13.58345532,G2,G2: BM-only diagnostic,High,Low
27,⊤⊥,4.0,3.0,1.0,8.0,0.42857142857142855,7.39906764,6.465634823,G3,G3: NM-only diagnostic,Low,High
27,⊤⊤,6.0,2.0,0.0,8.0,0.25,7.7056611775,10.62902248,G4,G4: neither diagnostic,Low,Low
28,⊥⊥,3.0,5.0,0.0,8.0,0.625,7.281537413500001,8.465635061,G1,G1: both diagnostic,High,High
28,⊥⊤,5.0,2.0,1.0,8.0,0.2857142857142857,9.784972191,11.03279853,G2,G2: BM-only diagnostic,High,Low
28,⊤⊥,3.0,5.0,0.0,8.0,0.625,7.967083454,11.46563482,G3,G3: NM-only diagnostic,Low,High
28,⊤⊤,5.0,2.0,1.0,8.0,0.2857142857142857,8.322002888,11.23677397,G4,G4: neither diagnostic,Low,Low
29,⊥⊥,4.0,4.0,0.0,8.0,0.5,6.8586255309999995,10.223737361,G1,G1: both diagnostic,High,High
29,⊥⊤,5.0,3.0,0.0,8.0,0.375,5.7462570665,11.4348805,G2,G2: BM-only diagnostic,High,Low
29,⊤⊥,3.0,5.0,0.0,8.0,0.625,6.3364993335,7.079101086,G3,G3: NM-only diagnostic,Low,High
29,⊤⊤,7.0,1.0,0.0,8.0,0.125,6.3251335619999995,11.55653262,G4,G4: neither diagnostic,Low,Low
30,⊥⊥,4.0,4.0,0.0,8.0,0.5,3.080375791,6.952374101,G1,G1: both diagnostic,High,High
30,⊥⊤,3.0,5.0,0.0,8.0,0.625,3.5816175935,5.760946512,G2,G2: BM-only diagnostic,High,Low
30,⊤⊥,3.0,5.0,0.0,8.0,0.625,2.520932794,3.588003874,G3,G3: NM-only diagnostic,Low,High
30,⊤⊤,2.0,6.0,0.0,8.0,0.75,2.915825486,7.907511711,G4,G4: neither diagnostic,Low,Low
31,⊥⊥,3.0,5.0,0.0,8.0,0.625,4.314939618,6.237278461,G1,G1: both diagnostic,High,High
31,⊥⊤,3.0,5.0,0.0,8.0,0.625,4.9469445945,7.251862764,G2,G2: BM-only diagnostic,High,Low
31,⊤⊥,3.0,5.0,0.0,8.0,0.625,4.6957782505,5.568755388,G3,G3: NM-only diagnostic,Low,High
31,⊤⊤,4.0,4.0,0.0,8.0,0.5,4.4730739595,5.5348380805,G4,G4: neither diagnostic,Low,Low
32,⊥⊥,4.0,3.0,1.0,8.0,0.42857142857142855,2.1774683,2.960347891,G1,G1: both diagnostic,High,High
32,⊥⊤,5.0,1.0,2.0,8.0,0.16666666666666666,3.1918509005000004,5.5965760945,G2,G2: BM-only diagnostic,High,Low
32,⊤⊥,1.0,3.0,4.0,8.0,0.75,3.268362045,8.2549630405,G3,G3: NM-only diagnostic,Low,High
32,⊤⊤,5.0,3.0,0.0,8.0,0.375,1.719609022,3.24179244,G4,G4: neither diagnostic,Low,Low
33,⊥⊥,2.0,6.0,0.0,8.0,0.75,1.8053638935,2.8053638935,G1,G1: both diagnostic,High,High
33,⊥⊤,3.0,5.0,0.0,8.0,0.625,3.4026049375,6.208573341,G2,G2: BM-only diagnostic,High,Low
33,⊤⊥,5.0,3.0,0.0,8.0,0.375,2.4868130685,4.26911974,G3,G3: NM-only diagnostic,Low,High
33,⊤⊤,1.0,7.0,0.0,8.0,0.875,3.9380216599999995,5.1813693044999996,G4,G4: neither diagnostic,Low,Low
34,⊥⊥,4.0,2.0,2.0,8.0,0.3333333333333333,3.500587702,4.3027846815,G1,G1: both diagnostic,High,High
34,⊥⊤,2.0,2.0,4.0,8.0,0.5,1.3407170775,3.8407170775,G2,G2: BM-only diagnostic,High,Low
34,⊤⊥,2.0,0.0,6.0,8.0,0.0,0.9724272489999999,1.690522671,G3,G3: NM-only diagnostic,Low,High
34,⊤⊤,4.0,2.0,2.0,8.0,0.3333333333333333,2.8169078825,3.300794125,G4,G4: neither diagnostic,Low,Low
35,⊥⊥,4.0,4.0,0.0,8.0,0.5,4.94900918,6.7725701335,G1,G1: both diagnostic,High,High
35,⊥⊤,6.0,2.0,0.0,8.0,0.25,5.2890732284999995,7.829132914500001,G2,G2: BM-only diagnostic,High,Low
35,⊤⊥,2.0,6.0,0.0,8.0,0.75,4.7269316915,6.3644509315,G3,G3: NM-only diagnostic,Low,High
35,⊤⊤,3.0,5.0,0.0,8.0,0.625,4.1528314355,6.730576992,G4,G4: neither diagnostic,Low,Low
36,⊥⊥,4.0,4.0,0.0,8.0,0.5,4.438941479,7.2394132615,G1,G1: both diagnostic,High,High
36,⊥⊤,5.0,3.0,0.0,8.0,0.375,5.5697654485,7.784972191,G2,G2: BM-only diagnostic,High,Low
36,⊤⊥,3.0,5.0,0.0,8.0,0.625,4.3904873129999995,6.381906986,G3,G3: NM-only diagnostic,Low,High
36,⊤⊤,4.0,4.0,0.0,8.0,0.5,4.107434869,7.425874591,G4,G4: neither diagnostic,Low,Low
37,⊥⊥,5.0,2.0,1.0,8.0,0.2857142857142857,7.236675739,8.615801096,G1,G1: both diagnostic,High,High
37,⊥⊤,6.0,1.0,1.0,8.0,0.14285714285714285,8.412435293,9.412435293,G2,G2: BM-only diagnostic,High,Low
37,⊤⊥,6.0,2.0,0.0,8.0,0.25,6.7540866135,6.430099845,G3,G3: NM-only diagnostic,Low,High
37,⊤⊤,6.0,2.0,0.0,8.0,0.25,5.8649414775,6.8649414775,G4,G4: neither diagnostic,Low,Low
38,⊥⊥,4.0,4.0,0.0,8.0,0.5,4.656487465,5.656487465,G1,G1: both diagnostic,High,High
38,⊥⊤,4.0,1.0,3.0,8.0,0.2,3.674104929,5.2555607555,G2,G2: BM-only diagnostic,High,Low
38,⊤⊥,4.0,3.0,1.0,8.0,0.42857142857142855,5.224411726,9.96280706,G3,G3: NM-only diagnostic,Low,High
