experiment_setting_keys,experiment_setting_values,round,room,batch,timestamp,title,tree_tag,player_uuids,player_types,avatar_shapes,avatar_colors,adjacency_matrix,idnum_label_map,perspective_of_player,final_node,tree_status,players_abdicated,durations,cumulative_payoffs_tree,cumulative_payoffs_experiment,choice_type_,choice_type_A,choice_type_B,choice_type_BA,choice_type_BB,choice_type_BBA,choice_type_BBB,probability_,probability_A,probability_B,probability_BA,probability_BB,probability_BBA,probability_BBB,positionxy_,positionxy_A,positionxy_B,positionxy_BA,positionxy_BB,positionxy_BBA,positionxy_BBB,info_set_,info_set_A,info_set_B,info_set_BA,info_set_BB,info_set_BBA,info_set_BBB,time_,time_A,time_B,time_BA,time_BB,time_BBA,time_BBB,beliefs_,beliefs_A,beliefs_B,beliefs_BA,beliefs_BB,beliefs_BBA,beliefs_BBB,options_,options_A,options_B,options_BA,options_BB,options_BBA,options_BBB,payoffs__p0,payoffs__p1,payoffs_A_p0,payoffs_A_p1,payoffs_B_p0,payoffs_B_p1,payoffs_BA_p0,payoffs_BA_p1,payoffs_BB_p0,payoffs_BB_p1,payoffs_BBA_p0,payoffs_BBA_p1,payoffs_BBB_p0,payoffs_BBB_p1,choice__p0,choice__p1,choice_A_p0,choice_A_p1,choice_B_p0,choice_B_p1,choice_BA_p0,choice_BA_p1,choice_BB_p0,choice_BB_p1,choice_BBA_p0,choice_BBA_p1,choice_BBB_p0,choice_BBB_p1,prediction__p0,prediction__p1,prediction_A_p0,prediction_A_p1,prediction_B_p0,prediction_B_p1,prediction_BA_p0,prediction_BA_p1,prediction_BB_p0,prediction_BB_p1,prediction_BBA_p0,prediction_BBA_p1,prediction_BBB_p0,prediction_BBB_p1,choice_data__p0,choice_data__p1,choice_data_A_p0,choice_data_A_p1,choice_data_B_p0,choice_data_B_p1,choice_data_BA_p0,choice_data_BA_p1,choice_data_BB_p0,choice_data_BB_p1,choice_data_BBA_p0,choice_data_BBA_p1,choice_data_BBB_p0,choice_data_BBB_p1,prediction_data__p0,prediction_data__p1,prediction_data_A_p0,prediction_data_A_p1,prediction_data_B_p0,prediction_data_B_p1,prediction_data_BA_p0,prediction_data_BA_p1,prediction_data_BB_p0,prediction_data_BB_p1,prediction_data_BBA_p0,prediction_data_BBA_p1,prediction_data_BBB_p0,prediction_data_BBB_p1
rounds,"{'apply': True, 'distribution_type': 'sigmoid', 'interval': [0, 200], 'coefficients': [1, 32]}",0,0,69,1713284693,ToM+SSSS-3421-1342,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b1d06e06-f498-4e22-8912-fe652a889d73', '6b074080-5fb1-496c-b406-3a1263d486e9']","['participant', 'robot']","['arrow-head', 'teardrop']","['hsla(219, 62%, 55%, 1.0)', 'hsla(231, 58%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[83, 81]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,1,0,0,4,3,0,0,2,4,1,2,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 3.138, 'rtimeup': 3.138}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 1.557, 'rtimeup': 2.88}",,,,,,,,,,,,
time_horizon,"{'apply': True, 'interval': [0, 1], 'distribution_type': 'linear', 'coefficients': [0, 1]}",0,1,69,1713284703,ToM+SSSS-3421-1342,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['caa154f0-e670-4260-b041-878c29f05d5d', '478d14b5-f478-4a7c-94cf-e2e83ef03647']","['participant', 'robot']","['round-square', 'flower']","['hsla(186, 86%, 60%, 1.0)', 'hsla(246, 77%, 41%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[85, 88]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,1,0,0,4,3,0,0,2,4,1,2,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 141.193, 'rtimeup': 141.193}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 1.737, 'rtimeup': 3.842}",,,,,,,,,,,,
payoff_dimensions,"{'SSD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'OOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'SOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'abdication_penalty': 10, 'payoff_values': [1, 9], 'cents_per_payoff': 0}",0,2,69,1713284696,ToM+SSSS-3421-1342,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['afe664b7-f15c-4992-bb02-06b17d98cd76', '51824b55-d585-41fa-b08b-67765129b7ad']","['participant', 'robot']","['dodecagon', 'flower']","['hsla(258, 93%, 40%, 1.0)', 'hsla(299, 70%, 55%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[False, False]","{'max': 21, 'min': 21, 'avg': 16.0, 'root': 17}","[0, 0]","[86, 99]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(3, 11)","(3, 15)","(3, 11)","(3, 13)","(13, 21)","(13, 21)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,1,0,0,4,3,0,0,2,4,1,2,B,,,,,BB,,,BBA,,,,,,,A,,,BA,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 2.34, 'rtimeup': 2.34}",,,,,"{'rtype': 'a', 'rtimedn': 1.301, 'rtimeup': 2.754}",,,"{'rtype': 'select-node', 'rtimedn': 2.676, 'rtimeup': 2.676}",,,,,,,"{'rtype': 'a', 'rtimedn': 1.677, 'rtimeup': 3.265}",,,"{'rtype': 'select-node', 'rtimedn': 2.478, 'rtimeup': 2.478}",,,,,"{'rtype': 'a', 'rtimedn': 4.324, 'rtimeup': 5.079}",,,,
players,"{'n_humans': 4, 'n_robots': 4, 'can_join_late': True, 'proportion_over_number': True, 'start_when_enough_humans': True, 'exclude_researchers': False}",0,3,69,1713284705,ToM+SSSS-3421-1342,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['2ad4121c-f949-4ff9-a858-57b6264a889e', '4fe34122-d86e-48dc-b25b-9493d71ad9a5']","['participant', 'robot']","['circle', 'dodecagon']","['hsla(139, 81%, 47%, 1.0)', 'hsla(174, 94%, 52%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[False, False]","{'max': 21, 'min': 21, 'avg': 16.0, 'root': 17}","[0, 0]","[86, 102]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(3, 11)","(3, 15)","(3, 11)","(3, 13)","(13, 21)","(13, 21)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,1,0,0,4,3,0,0,2,4,1,2,B,,,,,BB,,,BBA,,,,,,,A,,,BA,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 1.838, 'rtimeup': 1.838}",,,,,"{'rtype': 'd', 'rtimedn': 2.837, 'rtimeup': 5.959}",,,"{'rtype': 'select-node', 'rtimedn': 2.201, 'rtimeup': 2.201}",,,,,,,"{'rtype': 'a', 'rtimedn': 2.353, 'rtimeup': 3.813}",,,"{'rtype': 'select-node', 'rtimedn': 1.962, 'rtimeup': 1.962}",,,,,"{'rtype': 'a', 'rtimedn': 1.259, 'rtimeup': 3.381}",,,,
game_speed,"{'seconds_per_node': 8, 'seconds_per_descendant': 1, 'buffer_between_levels': 0}",1,0,69,1713284716,ToM+MMMS-3142-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b1d06e06-f498-4e22-8912-fe652a889d73', '6b074080-5fb1-496c-b406-3a1263d486e9']","['participant', 'robot']","['arrow-head', 'teardrop']","['hsla(219, 62%, 55%, 1.0)', 'hsla(231, 58%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[False, False]","{'max': 24, 'min': 24, 'avg': 19.0, 'root': 17}","[0, 0]","[83, 81]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(6, 14)","(6, 18)","(6, 14)","(6, 16)","(16, 24)","(16, 24)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,1,3,0,0,4,4,2,1,B,,,,,BB,,,BBA,,,,,,,B,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 5.096, 'rtimeup': 5.096}",,,,,"{'rtype': 'a', 'rtimedn': 3.608, 'rtimeup': 4.907}",,,"{'rtype': 'select-node', 'rtimedn': 5.485, 'rtimeup': 5.485}",,,,,,,"{'rtype': 'a', 'rtimedn': 3.032, 'rtimeup': 4.291}",,,"{'rtype': 'select-node', 'rtimedn': 5.191, 'rtimeup': 5.191}",,,,,"{'rtype': 'a', 'rtimedn': 6.203, 'rtimeup': 7.078}",,,,
game_trees,"{'preselected': True, 'trees_list': ['ToM+MMMM-2143-3241', 'ToM+MMMM-2341-3214', 'ToM+MMMM-2431-2314', 'ToM+MMMM-3421-2314', 'ToM+MMMS-2143-2341', 'ToM+MMMS-3142-2341', 'ToM+MMMS-3241-3241', 'ToM+MMMS-3421-3214', 'ToM+MSMM-2134-3214', 'ToM+MSMM-2314-3241', 'ToM+MSMM-2413-2341', 'ToM+MSMM-3412-2341', 'ToM+MSMS-2134-2314', 'ToM+MSMS-3124-2314', 'ToM+MSMS-3214-3214', 'ToM+MSMS-3412-3241', 'ToM+SMSM-2134-1342', 'ToM+SMSM-2134-3241', 'ToM+SMSM-2134-4231', 'ToM+SMSM-3412-2314', 'ToM+SMSS-2134-2341', 'ToM+SMSS-3412-1324', 'ToM+SMSS-3412-3214', 'ToM+SMSS-3412-4213', 'ToM+SSSM-2143-1324', 'ToM+SSSM-2143-3214', 'ToM+SSSM-2143-4213', 'ToM+SSSM-3421-2341', 'ToM+SSSS-2143-2314', 'ToM+SSSS-3421-1342', 'ToM+SSSS-3421-3241', 'ToM+SSSS-3421-4231', 'Trust~135-135', 'Trust~135-153', 'Trust~135-315', 'Trust~135-351', 'Trust~135-513', 'Trust~135-531', 'Trust~153-135', 'Trust~153-153', 'Trust~153-315', 'Trust~153-351', 'Trust~153-513', 'Trust~153-531', 'Trust~315-135', 'Trust~315-153', 'Trust~315-315', 'Trust~315-351', 'Trust~315-513', 'Trust~315-531', 'Trust~351-135', 'Trust~351-153', 'Trust~351-315', 'Trust~351-351', 'Trust~351-513', 'Trust~351-531', 'Trust~513-135', 'Trust~513-153', 'Trust~513-315', 'Trust~513-351', 'Trust~513-513', 'Trust~513-531', 'Trust~531-135', 'Trust~531-153', 'Trust~531-315', 'Trust~531-351', 'Trust~531-513', 'Trust~531-531']}",1,1,69,1713284719,ToM+MMMS-3142-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['caa154f0-e670-4260-b041-878c29f05d5d', '478d14b5-f478-4a7c-94cf-e2e83ef03647']","['participant', 'robot']","['round-square', 'flower']","['hsla(186, 86%, 60%, 1.0)', 'hsla(246, 77%, 41%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[85, 88]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,1,3,0,0,4,4,2,1,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 142.821, 'rtimeup': 142.821}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 4.601, 'rtimeup': 7.246}",,,,,,,,,,,,
group_size,"{'distribution': [0, 1, 0, 0], 'apply': True}",1,2,69,1713284712,ToM+MMMS-3142-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['afe664b7-f15c-4992-bb02-06b17d98cd76', '51824b55-d585-41fa-b08b-67765129b7ad']","['participant', 'robot']","['dodecagon', 'flower']","['hsla(258, 93%, 40%, 1.0)', 'hsla(299, 70%, 55%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[86, 99]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,1,3,0,0,4,4,2,1,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 4.258, 'rtimeup': 4.258}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 3.915, 'rtimeup': 5.729}",,,,,,,,,,,,
robots,"{'self_value': {'apply': True, 'distribution_type': 'point', 'interval': [1, 1], 'coefficients': [1, 1]}, 'other_value': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'normal_envy': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'reverse_envy': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'risk_preference': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'loss_preference': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'reasoning_depth': {'apply': True, 'distribution_type': 'point', 'interval': [3, 3], 'coefficients': [3, 1]}, 'time_discount': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'reaction_time': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}}",1,3,69,1713284719,ToM+MMMS-3142-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['2ad4121c-f949-4ff9-a858-57b6264a889e', '4fe34122-d86e-48dc-b25b-9493d71ad9a5']","['participant', 'robot']","['circle', 'dodecagon']","['hsla(139, 81%, 47%, 1.0)', 'hsla(174, 94%, 52%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[False, False]","{'max': 24, 'min': 24, 'avg': 18.5, 'root': 17}","[0, 0]","[86, 102]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(4, 12)","(4, 16)","(6, 14)","(6, 16)","(16, 24)","(16, 24)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,1,3,0,0,4,4,2,1,B,,,,,BB,,,BBA,,,,,,,B,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 3.081, 'rtimeup': 3.081}",,,,,"{'rtype': 'd', 'rtimedn': 5.77, 'rtimeup': 6.023}",,,"{'rtype': 'select-node', 'rtimedn': 3.648, 'rtimeup': 3.648}",,,,,,,"{'rtype': 'a', 'rtimedn': 2.158, 'rtimeup': 4.362}",,,"{'rtype': 'select-node', 'rtimedn': 3.464, 'rtimeup': 3.464}",,,,,"{'rtype': 'd', 'rtimedn': 6.718, 'rtimeup': 9.122}",,,,
truthfulness,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",2,0,69,1713284727,ToM+MSMM-2413-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b1d06e06-f498-4e22-8912-fe652a889d73', '6b074080-5fb1-496c-b406-3a1263d486e9']","['participant', 'robot']","['arrow-head', 'teardrop']","['hsla(219, 62%, 55%, 1.0)', 'hsla(231, 58%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[83, 81]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,4,3,0,0,1,4,3,1,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 6.611, 'rtimeup': 6.611}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 0.756, 'rtimeup': 0.905}",,,,,,,,,,,,
complexity,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",2,1,69,1713284732,ToM+MSMM-2413-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['caa154f0-e670-4260-b041-878c29f05d5d', '478d14b5-f478-4a7c-94cf-e2e83ef03647']","['participant', 'robot']","['round-square', 'flower']","['hsla(186, 86%, 60%, 1.0)', 'hsla(246, 77%, 41%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 174, 'min': 174, 'avg': 166.0, 'root': 17}","[-10, 0]","[85, 88]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(144, 152)","(144, 156)","(156, 164)","(156, 166)","(166, 174)","(166, 174)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,4,3,0,0,1,4,3,1,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 144.015, 'rtimeup': 144.015}",,,,,"{'rtype': 'd', 'rtimedn': 4.37, 'rtimeup': 4.81}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 3.202, 'rtimeup': 4.949}",,,"{'rtype': 'select-node', 'rtimedn': 144.161, 'rtimeup': 144.161}",,,,,,,,,
